title:	reported memory type may not be used to access the vmcs and referenced data structures				
problem:	bits 53:50 of the ia32_vmx_basic msr report the memory type that the processor uses to access the vmcs and data structures referenced by pointers in the vmcs. due to this erratum, a vmx access to the vmcs or referenced data structures will instead use the memory type that the mtrrs (memory-type range registers) specify for the physical address of the access.				
implication:	bits 53:50 of the ia32_vmx_basic msr report that the wb (write-back) memory type will be used but the processor may use a different memory type.				
workaround:	software should ensure that the vmcs and referenced data structures are located at physical addresses that are mapped to wb memory type by the mtrrs.				
					
title:	instruction fetch may cause machine check if page size and memory type was changed without invalidation				
problem:	this erratum may cause a machine-check error (ia32_mci_status.mcacod=0150h) on the fetch of an instruction that crosses a 4- kbyte address boundary. it applies only if (1) the 4-kbyte linear region on which the instruction begins is originally translated using a 4-kbyte page with the wb memory type; (2) the paging structures are later modified so that linear region is translated using a large page (2-mbyte, 4-mbyte, or 1-gbyte) with the uc memory type; and (3) the instruction fetch occurs after the paging-structure modification but before software invalidates any tlb entries for the linear region.				
implication:	due to this erratum an unexpected machine check with error code 0150h may occur, possibly resulting in a shutdown. intel has not observed this erratum with any commercially available software.				
workaround:	software should not write to a paging-structure entry in a way that would change, for any linear address, both the page size and the memory type. it can instead use the following algorithm: first clear the p flag in the relevant paging-structure entry (e.g., pde); then invalidate any translations for the affected linear addresses; and then modify the relevant paging-structure entry to set the p flag and establish the new page size and memory type.				
					
title:	execution of vaesimc or vaeskeygenassist with an illegal value for vex.vvvv may produce a #nm exception				
problem:	the vaesimc and vaeskeygenassist instructions should produce a #ud (invalid- opcode) exception if the value of the vvvv field in the vex prefix is not 1111b. due to this erratum, if cr0.ts is “1”, the processor may instead produce a #nm (device- not-available) exception.				
implication:	due to this erratum, some undefined instruction encodings may produce a #nm instead of a #ud exception.				
workaround:	software should always set the vvvv field of the vex prefix to 1111b for instances of the vaesimc and vaeskeygenassist instructions.				
					
title:	the corrected error count overflow bit in ia32_ mc0_status is not updated when the uc bit is set				
problem:	after a uc (uncorrected) error is logged in the ia32_mc0_status msr (401h), corrected errors will continue to be counted in the lower 14 bits (bits 51:38) of the corrected error count. due to this erratum, the sticky count overflow bit (bit 52) of the corrected error count will not get updated when the uc bit (bit 61) is set to 1.				
implication:	the corrected error count overflow indication will be lost if the overflow occurs after an uncorrectable error has been logged.				
workaround:	none identified				
					
title:	vm exit may set ia32_efer.nxe when ia32_misc_enable bit 34 is set to 1				
problem:	when “xd bit disable” in the ia32_misc_enable msr (1a0h) bit 34 is set to 1, it should not be possible to enable the “execute disable” feature by setting ia32_efer.nxe. due to this erratum, a vm exit that occurs with the 1-setting of the “load ia32_efer” vm-exit control may set ia32_efer.nxe even if ia32_misc_enable bit 34 is set to 1. this erratum can occur only if ia32_misc_enable bit 34 was set by guest software in vmx non-root operation.				
implication:	software in vmx root operation may execute with the “execute disable” feature enabled despite the fact that the feature should be disabled by the ia32_misc_enable msr. intel has not observed this erratum with any commercially available software.				
workaround:	a virtual-machine monitor should not allow guest software to write to the ia32_misc_enable msr				
					
title:	smram state-save area above the 4gb boundary may cause unpredictable system behavior				
problem:	if bios uses the rsm instruction to load the smbase register with a value that would cause any part of the smram state-save area to have an address above 4-gbytes, subsequent transitions into and out of smm (system-management mode) might save and restore processor state from incorrect addresses.				
implication:	this erratum may cause unpredictable system behavior. intel has not observed this erratum with any commercially available system.				
workaround:	ensure that the smram state-save area is located entirely below the 4gb address boundary.				
					
title:	x87 fpu exception (#mf) may be signaled earlier than expected				
problem:	x87 instructions that trigger #mf normally service interrupts before the #mf. due to this erratum, if an instruction that triggers #mf is executing when an enhanced intel speedstep® technology transitions, an intel® turbo boost technology transitions, or a thermal monitor events occurs, the #mf may be taken before pending interrupts are serviced.				
implication:	software may observe #mf being signaled before pending interrupts are serviced.				
workaround:	none identified.				
					
title:	incorrect from_ip value for an rtm abort in btm or bts may be observed				
problem:	during rtm (restricted transactional memory) operation when branch tracing is enabled using btm (branch trace message) or bts (branch trace store), the incorrect eip value (from_ip pointer) may be observed for an rtm abort.				
implication:	due to this erratum, the from_ip pointer may be the same as that of the immediately preceding taken branch.				
workaround:	none identified.				
					
title:	dr6 register may contain an incorrect value when a mov to ss or pop ss instruction is followed by an xbegin instruction				
